,Mkt-RF,SMB,HML,RMW,CMA,RF,
1986-08-01,-6.45,-3.54,4.76,-0.57,0.61,0.52,
1986-09-01,6.07,-4.37,3.5,-1.74,3.24,0.46,
1986-10-01,-8.6,1.96,3.16,-0.05,3.62,0.45,
1986-11-01,4.66,-2.33,-1.37,0.13,0.89,0.46,
1986-12-01,1.17,-1.88,-0.13,1.12,0.61,0.39,
1987-01-01,-3.27,0.07,0.27,0.83,-0.03,0.49,
1987-02-01,12.47,-1.52,-3.26,0.2,-1.09,0.42,
1987-03-01,4.39,3.41,-5.97,-0.9,-2.76,0.43,
1987-04-01,1.64,0.22,1.62,1.36,4.03,0.47,
1987-05-01,-2.11,-1.55,-0.34,-0.46,1.22,0.44,
1987-06-01,0.11,-0.6,0.22,0.52,1.32,0.38,
1987-07-01,3.94,-2.29,1.01,1.73,0.83,0.48,
1987-08-01,3.85,-1.11,0.67,-0.5,1.56,0.46,
1987-09-01,3.52,-0.9,-0.92,2.03,-1.59,0.47,
1987-10-01,-2.59,0.37,0.27,-0.9,1.89,0.45,
1987-11-01,-23.24,-8.08,4.2,2.01,2.39,0.6,
1987-12-01,-7.77,2.83,3.13,-1.92,0.71,0.35,
1988-01-01,6.81,0.09,-4.45,3.01,-2.36,0.39,
1988-02-01,4.21,-0.54,4.99,-1.12,2.09,0.29,
1988-03-01,4.75,3.32,-1.62,1.56,-0.11,0.46,
1988-04-01,-2.27,6.25,0.72,-0.16,1.91,0.44,
1988-05-01,0.56,1.12,1.7,-0.23,1.9,0.46,
1988-06-01,-0.29,-2.59,2.33,-0.7,0.38,0.51,
1988-07-01,4.79,2.19,-1.09,1.42,-3.25,0.49,
1988-08-01,-1.25,-0.17,2.2,-0.59,1.44,0.51,
1988-09-01,-3.31,-0.01,2.12,-0.74,1.73,0.59,
1988-10-01,3.3,-1.31,-0.68,1.73,-0.49,0.62,
1988-11-01,1.15,-2.95,1.7,1.4,1.05,0.61,
1988-12-01,-2.29,-1.66,1.3,-0.28,1.6,0.57,
1989-01-01,1.49,2.01,-1.54,0.63,-0.37,0.63,
1989-02-01,6.1,-2.23,0.49,-1.03,0.16,0.55,
1989-03-01,-2.25,2.67,0.9,-0.81,1.9,0.61,
1989-04-01,1.57,0.77,0.47,0,0.79,0.67,
1989-05-01,4.33,-0.69,-1.42,0.75,-0.54,0.67,
1989-06-01,3.35,-0.01,-0.9,0.5,-0.03,0.79,
1989-07-01,-1.35,-1.07,2.27,0.22,1.52,0.71,
1989-08-01,7.2,-4.05,-2.79,1.97,-0.61,0.7,
1989-09-01,1.44,0.43,0.63,0.34,-0.5,0.74,
1989-10-01,-0.76,0.44,-1.25,1.36,0.59,0.65,
1989-11-01,-3.67,-3.32,-1.07,0.01,0.01,0.68,
1989-12-01,1.03,-1.33,-1.07,-0.97,1.47,0.69,
1990-01-01,1.16,-2.3,0.21,-0.06,1.44,0.61,
1990-02-01,-7.85,-1.32,0.78,-1.13,1.32,0.57,
1990-03-01,1.11,1.19,0.65,-0.2,-0.64,0.57,
1990-04-01,1.83,1.66,-3.03,2.18,-1.03,0.64,
1990-05-01,-3.36,-0.39,-2.47,1.72,-0.97,0.69,
1990-06-01,8.42,-2.39,-3.89,1.63,-1.57,0.68,
1990-07-01,-1.09,1.37,-1.99,-1.05,-0.34,0.63,
1990-08-01,-1.9,-3.26,-0.11,-0.26,3.1,0.68,
1990-09-01,-10.15,-3.85,1.63,-0.43,2.99,0.66,
1990-10-01,-6.12,-3.78,0.71,-0.15,3.71,0.6,
1990-11-01,-1.92,-5.1,0.19,2.83,-0.49,0.68,
1990-12-01,6.35,-0.04,-3.21,0.83,-4.75,0.57,
1991-01-01,2.46,0.59,-1.72,2.84,-2,0.6,
1991-02-01,4.69,3.86,-1.74,1.56,-4.08,0.52,
1991-03-01,7.19,3.97,-0.55,-0.25,-0.16,0.48,
1991-04-01,2.65,3.85,-1.32,-0.37,-0.99,0.44,
1991-05-01,-0.28,0.32,1.48,0.52,0.71,0.53,
1991-06-01,3.65,0.16,-0.57,2.1,-2.45,0.47,
1991-07-01,-4.94,0.18,1.23,1.75,0.63,0.42,
1991-08-01,4.24,-0.96,-1.25,1.6,-1.41,0.49,
1991-09-01,2.32,1.44,-0.83,0.87,-0.55,0.46,
1991-10-01,-1.59,1.56,-0.98,-1.81,0.16,0.46,
1991-11-01,1.29,0.94,-0.47,-1.73,-0.29,0.42,
1991-12-01,-4.19,-0.87,-1.85,1.06,0.12,0.39,
1992-01-01,10.84,-2.42,-4.11,3.57,-3.12,0.38,
1992-02-01,-0.59,9.26,4.61,-1.33,3.15,0.34,
1992-03-01,1.09,1.35,6.37,0.11,2.04,0.28,
1992-04-01,-2.66,-0.9,3.61,-0.1,1.93,0.34,
1992-05-01,1.07,-5.73,4.27,1.69,2.22,0.32,
1992-06-01,0.3,0.22,1.25,-0.98,0.43,0.28,
1992-07-01,-2.34,-2.71,3.36,-0.05,1.07,0.32,
1992-08-01,3.77,-0.61,-0.37,1.4,-0.72,0.31,
1992-09-01,-2.38,-0.43,-1.06,3.73,-1.62,0.26,
1992-10-01,1.19,0.5,-0.28,1.63,-0.5,0.26,
1992-11-01,1.02,2.03,-2.01,1.3,-0.8,0.23,
1992-12-01,4.13,3.93,-1.4,-0.77,-1.91,0.23,
1993-01-01,1.53,1.64,2.63,-0.41,0.75,0.28,
1993-02-01,0.93,2.07,5.92,-1.73,2.78,0.23,
1993-03-01,0.12,-3.47,6.41,-0.59,4.05,0.22,
1993-04-01,2.3,0.06,1.31,-0.14,0.92,0.25,
1993-05-01,-3.05,-0.86,2.52,-3.58,1.52,0.24,
1993-06-01,2.89,1.9,-3.45,0,-1.18,0.22,
1993-07-01,0.31,0.11,2.72,-0.97,1.09,0.25,
1993-08-01,-0.34,0.89,2.82,-1.84,2.03,0.24,
1993-09-01,3.71,0.13,0.13,-1.59,-0.04,0.25,
1993-10-01,-0.12,2.98,-0.25,0.26,-0.08,0.26,
1993-11-01,1.41,1.9,-2.72,0.55,0.59,0.22,
1993-12-01,-1.89,-1.26,-0.77,2.25,-0.96,0.25,
1994-01-01,1.65,1.39,0.36,1.13,-0.32,0.23,
1994-02-01,2.87,-0.01,1.13,-1.59,1.45,0.25,
1994-03-01,-2.55,2.66,-1.59,2.2,-1.03,0.21,
1994-04-01,-4.78,-1.11,1.63,0.55,1.27,0.27,
1994-05-01,0.68,-1.06,1.66,1.11,1.12,0.27,
1994-06-01,0.58,-2.52,0.66,0.66,0.7,0.31,
1994-07-01,-3.03,-0.52,1.72,1.15,1.53,0.31,
1994-08-01,2.82,-1.84,0.56,-0.63,0.11,0.28,
1994-09-01,4.01,1.34,-2.47,0.9,-1.45,0.37,
1994-10-01,-2.31,2.78,-1.87,0.51,0.93,0.37,
1994-11-01,1.34,-2.3,-1.66,0.22,-0.62,0.38,
1994-12-01,-4.04,0.09,-0.69,0.45,-0.44,0.37,
1995-01-01,0.86,0.07,-0.2,0.5,0.31,0.44,
1995-02-01,1.8,-3.11,2.54,0.09,-0.83,0.42,
1995-03-01,3.63,-0.52,1.12,0.61,-0.33,0.4,
1995-04-01,2.19,-0.51,-2.15,-0.09,0.16,0.46,
1995-05-01,2.11,-0.29,1.71,0.24,1,0.44,
1995-06-01,2.9,-2.2,2.23,0.37,0.09,0.54,
1995-07-01,2.72,3.03,-2.5,-0.33,-2.44,0.47,
1995-08-01,3.72,2.07,-1.63,0.28,-1.71,0.45,
1995-09-01,0.55,1.78,2.84,-1.17,1.64,0.47,
1995-10-01,3.35,-1.97,0.02,1.06,0.36,0.43,
1995-11-01,-1.52,-4.09,-0.46,1.84,-0.03,0.47,
1995-12-01,3.96,-1.14,0.61,-0.54,1.19,0.42,
1996-01-01,1.03,0.69,0.33,-1.35,2.99,0.49,
1996-02-01,2.26,-2.49,0.22,0.13,2.27,0.43,
1996-03-01,1.33,1.76,-1.16,0.24,-1.8,0.39,
1996-04-01,0.73,1.63,0.31,1.46,-0.97,0.39,
1996-05-01,2.06,4.7,-4.08,-0.14,-2.2,0.46,
1996-06-01,2.36,3.13,-0.8,0.15,-0.22,0.42,
1996-07-01,-1.14,-3.57,2.26,3.34,1.09,0.4,
1996-08-01,-5.97,-3.82,5.16,2.95,2.59,0.45,
1996-09-01,2.77,2.58,-0.78,-0.41,-2.42,0.41,
1996-10-01,5.01,-1.37,-2.76,1.24,-2.18,0.44,
1996-11-01,0.86,-3.84,4.92,1.52,2.97,0.42,
1996-12-01,6.25,-3.82,1.46,2.05,-0.73,0.41,
1997-01-01,-1.7,3.16,1.33,0.41,1.52,0.46,
1997-02-01,4.98,-1.85,-1.43,1.23,-0.28,0.45,
1997-03-01,-0.49,-2.66,5.7,0.67,3.41,0.39,
1997-04-01,-5.02,-0.5,3.43,0.46,1.66,0.43,
1997-05-01,4.04,-5.72,0.09,3.36,-0.9,0.43,
